exp,idx,cbcond,sex_kp_mfor,age_kp
EA_exp_1a,1,2,male,22
EA_exp_1a,2,2,female,19
EA_exp_1a,3,1,female,18
EA_exp_1a,4,1,female,19
EA_exp_1a,5,1,female,18
EA_exp_1a,6,1,female,20
EA_exp_1a,7,1,female,19
EA_exp_1a,8,1,female,20
EA_exp_1a,9,1,female,19
EA_exp_1a,10,1,male,20
EA_exp_1a,11,1,female,19
EA_exp_1a,12,1,female,19
EA_exp_1a,13,1,female,27
EA_exp_1a,14,2,female,20
EA_exp_1a,15,2,male,18
EA_exp_1a,16,1,female,19
EA_exp_1a,17,2,female,19
EA_exp_1a,18,2,female,18
EA_exp_1a,19,2,female,19
EA_exp_1a,20,1,female,19
EA_exp_1a,21,2,female,18
EA_exp_1a,22,2,female,19
EA_exp_1a,23,1,female,20
EA_exp_1a,24,2,female,20
EA_exp_1a,25,1,female,19
EA_exp_1a,26,1,male,20
EA_exp_1a,27,2,female,20
EA_exp_1a,28,2,female,18
EA_exp_1a,29,1,male,19
EA_exp_1a,30,2,female,18
EA_exp_1a,31,1,female,19
EA_exp_1a,32,1,female,19
EA_exp_1a,33,2,female,19
EA_exp_1a,34,1,female,19
EA_exp_1a,35,2,male,19
EA_exp_1a,36,2,female,20
EA_exp_1a,37,1,male,20
EA_exp_1a,38,1,female,26
EA_exp_1a,39,2,female,27
EA_exp_1a,40,1,female,20
EA_exp_1a,41,1,female,21
EA_exp_1a,42,1,female,20
EA_exp_1a,43,2,female,20
EA_exp_1a,44,1,female,19
EA_exp_1a,45,2,female,19
EA_exp_1a,46,1,female,18
EA_exp_1a,47,2,female,19
EA_exp_1a,48,1,female,19
EA_exp_1a,49,2,female,19
EA_exp_1a,50,1,other,18
EA_exp_1a,51,2,female,19
EA_exp_1a,52,2,female,18
EA_exp_1a,53,1,female,19
EA_exp_1a,54,2,male,20
EA_exp_1a,55,2,female,19
EA_exp_1a,56,2,female,19
EA_exp_1a,57,1,female,20
EA_exp_1a,58,2,female,22
EA_exp_1a,59,2,male,20
EA_exp_1a,60,1,female,19
EA_exp_1a,61,2,male,18
EA_exp_1a,62,1,female,19
EA_exp_1a,63,1,female,20
EA_exp_1a,64,2,female,19
EA_exp_1a,65,1,female,19
EA_exp_1a,66,2,female,18
EA_exp_1a,67,1,female,21
EA_exp_1a,68,1,female,20
EA_exp_1a,69,2,male,19
EA_exp_1a,70,2,female,20
EA_exp_1a,71,1,female,19
EA_exp_1a,72,2,female,19
EA_exp_1a,73,2,female,19
